country	ease
 Afghanistan 	47.77
 Albania 	69.51
 Algeria 	49.65
 Angola 	43.86
 Antigua and Barbuda 	59.48
 Argentina 	58.80
 Armenia 	75.37
 Australia 	80.13
 Austria 	78.57
 Azerbaijan 	78.64
 Bahamas, The 	58.90
 Bahrain 	69.85
 Bangladesh 	41.97
 Bangladesh Chittagong 	42.89
 Bangladesh Dhaka 	41.71
 Barbados 	56.78
 Belarus 	75.77
 Belgium 	73.95
 Belize 	57.13
 Benin 	51.42
 Bhutan 	66.08
 Bolivia 	50.32
 Bosnia and Herzegovina 	63.82
 Botswana 	65.40
 Brazil 	60.01
 Brazil Rio de Janeiro 	60.13
 Brazil São Paulo 	59.94
 Brunei Darussalam 	72.03
 Bulgaria 	71.24
 Burkina Faso 	51.57
 Burundi 	47.41
 Cabo Verde 	55.95
 Cambodia 	54.80
 Cameroon 	47.78
 Canada 	79.26
 Central African Republic 	36.90
 Chad 	39.36
 Chile 	71.81
 China 	73.64
 China Beijing 	73.59
 China Shanghai 	73.68
 Colombia 	69.24
 Comoros 	48.66
 Congo, Dem. Rep. 	36.85
 Congo, Rep. 	39.83
 Costa Rica 	68.89
 Côte d'Ivoire 	58.00
 Croatia 	71.40
 Cyprus 	71.71
 Czech Republic 	76.10
 Denmark 	84.64
 Djibouti 	62.02
 Dominica 	61.07
 Dominican Republic 	61.12
 Ecuador 	57.94
 Egypt, Arab Rep. 	58.56
 El Salvador 	65.41
 Equatorial Guinea 	41.94
 Eritrea 	23.07
 Estonia 	80.50
 Eswatini 	58.95
 Ethiopia 	49.06
 Fiji 	61.15
 Finland 	80.35
 France 	77.29
 Gabon 	45.58
 Gambia, The 	51.72
 Georgia 	83.28
 Germany 	78.90
 Ghana 	59.22
 Greece 	68.08
 Grenada 	52.71
 Guatemala 	62.17
 Guinea 	51.51
 Guinea-Bissau 	42.85
 Guyana 	55.57
 Haiti 	38.52
 Honduras 	58.22
 Hong Kong SAR, China 	84.22
 Hungary 	72.28
 Iceland 	79.35
 India 	67.23
 India Delhi 	67.99
 India Mumbai 	66.38
 Indonesia 	67.96
 Indonesia Jakarta 	68.15
 Indonesia Surabaya 	67.30
 Iran, Islamic Rep. 	56.98
 Iraq 	44.72
 Ireland 	78.91
 Israel 	73.23
 Italy 	72.56
 Jamaica 	67.47
 Japan 	75.65
 Japan Osaka 	75.54
 Japan Tokyo 	75.71
 Jordan 	60.98
 Kazakhstan 	77.89
 Kenya 	70.31
 Kiribati 	49.07
 Korea, Rep. 	84.14
 Kosovo 	74.15
 Kuwait 	62.20
 Kyrgyz Republic 	68.33
 Lao PDR 	51.26
 Latvia 	79.59
 Lebanon 	54.04
 Lesotho 	60.60
 Liberia 	43.51
 Libya 	33.44
 Lithuania 	80.83
 Luxembourg 	69.01
 Macedonia, FYR 	81.55
 Madagascar 	48.89
 Malawi 	59.59
 Malaysia 	80.60
 Maldives 	54.43
 Mali 	53.50
 Malta 	65.43
 Marshall Islands 	51.62
 Mauritania 	51.99
 Mauritius 	79.58
 Mexico 	72.09
 Mexico Mexico City 	71.41
 Mexico Monterrey 	75.42
 Micronesia, Fed. Sts. 	48.99
 Moldova 	73.54
 Mongolia 	67.74
 Montenegro 	72.73
 Morocco 	71.02
 Mozambique 	55.53
 Myanmar 	44.72
 Namibia 	60.53
 Nepal 	59.63
 Netherlands 	76.04
 New Zealand 	86.59
 Nicaragua 	55.64
 Niger 	53.72
 Nigeria 	52.89
 Nigeria Kano 	55.51
 Nigeria Lagos 	52.11
 Norway 	82.95
 Oman 	67.19
 Pakistan 	55.31
 Pakistan Karachi 	53.86
 Pakistan Lahore 	57.99
 Palau 	55.59
 Panama 	66.12
 Papua New Guinea 	60.12
 Paraguay 	59.40
 Peru 	68.83
 Philippines 	57.68
 Poland 	76.95
 Portugal 	76.55
 Puerto Rico (U.S.) 	69.46
 Qatar 	65.89
 Romania 	72.30
 Russian Federation 	77.37
 Russian Federation Moscow 	77.59
 Russian Federation Saint Petersburg 	76.85
 Rwanda 	77.88
 Samoa 	63.77
 San Marino 	64.74
 São Tomé and Príncipe 	45.14
 Saudi Arabia 	63.50
 Senegal 	54.15
 Serbia 	73.49
 Seychelles 	62.41
 Sierra Leone 	48.74
 Singapore 	85.24
 Slovak Republic 	75.17
 Slovenia 	75.61
 Solomon Islands 	59.17
 Somalia 	20.04
 South Africa 	66.03
 South Sudan 	35.34
 Spain 	77.68
 Sri Lanka 	61.22
 St. Kitts and Nevis 	54.36
 St. Lucia 	63.02
 St. Vincent and the Grenadines 	56.35
 Sudan 	48.84
 Suriname 	48.05
 Sweden 	81.27
 Switzerland 	75.69
 Syrian Arab Republic 	41.57
 Taiwan, China 	80.90
 Tajikistan 	57.11
 Tanzania 	53.63
 Thailand 	78.45
 Timor-Leste 	41.60
 Togo 	55.20
 Tonga 	63.59
 Trinidad and Tobago 	60.81
 Tunisia 	66.11
 Turkey 	74.33
 Uganda 	57.06
 Ukraine 	68.25
 United Arab Emirates 	81.28
 United Kingdom 	82.65
 United States 	82.75
 United States Los Angeles 	80.88
 United States New York City 	83.99
 Uruguay 	62.60
 Uzbekistan 	67.40
 Vanuatu 	62.87
 Venezuela, RB 	30.61
 Vietnam 	68.36
 West Bank and Gaza 	59.11
 Yemen, Rep. 	32.41
 Zambia 	65.08
 Zimbabwe 	50.44
